# dates,infections,hospitalizations,deaths,mean_r_t
2020-05-13,205802.08533527676,nan,666.5073652340179,0.9741233346943039
2020-05-14,204657.47710985504,nan,689.632351770734,0.9731685964771137
2020-05-15,203464.30523378128,nan,711.8932204889022,0.9722269834510306
2020-05-16,202218.59174654644,nan,733.2937964601412,0.971300463850383
2020-05-17,200925.99745850696,nan,753.8447036936502,0.970391349024643
2020-05-18,199623.51797477997,nan,773.5609237956771,0.9695024130149797
2020-05-19,198305.75291354326,nan,792.4598356938752,0.9686369382239759
2020-05-20,196962.10038039694,nan,810.5598135685357,0.9677986747025884
2020-05-21,195594.56679544575,nan,827.8793188525328,0.966992173140646
2020-05-22,194200.86157600008,nan,844.4363984627297,0.9662229627877035
2020-05-23,192791.9448125147,nan,860.248479037803,0.9654976697596638
2020-05-24,191373.2473435215,nan,875.3323945470739,0.9648242442765901
2020-05-25,189946.89603708562,nan,889.7045919758427,0.964212132686692
2020-05-26,188515.55652669008,nan,903.3814327815098,0.9636725676548483
2020-05-27,187082.73370762478,nan,916.379508095861,0.9632188718843642
2020-05-28,185654.91381408175,nan,928.7125144811399,0.9628667588430904
2020-05-29,184239.5975432237,nan,940.3962556677052,0.9626346316398654
2020-05-30,182844.106960403,nan,951.4482118988376,0.9625438453535166
2020-05-31,181478.09109303355,nan,961.8871852434029,0.9626189132666042
2020-06-01,180155.1299787062,nan,971.7363396364975,0.9628875969057193
2020-06-02,178879.1340403496,nan,981.0213260423594,0.9633807853641189
2020-06-03,177662.22878374255,nan,989.7624733916202,0.9641320698841729
2020-06-04,176517.575818618,nan,997.9809136681658,0.9651769703261986
2020-06-05,175459.40619894784,nan,1005.6985748406918,0.9665515359784422
2020-06-06,174502.18811635615,nan,1012.9382547289213,0.9682903286000342
2020-06-07,173659.51111792744,nan,1019.7262601450901,0.9704236873007378
2020-06-08,172944.97313292458,nan,1026.082109964364,0.972974309776509
2020-06-09,172371.61914774636,nan,1032.0248342419625,0.9759533333318848
2020-06-10,171950.837201168,nan,1037.573199116672,0.979356286188576
2020-06-11,171691.65989494926,nan,1042.7460323883595,0.9831595058206284
2020-06-12,171599.71596976492,nan,1047.570070514605,0.9873177714631148
2020-06-13,171676.96753883656,nan,1052.059741433174,0.9917639084156931
2020-06-14,171921.6345989974,nan,1056.2301864935998,0.996410928935729
2020-06-15,172328.31533291153,nan,1060.0976425729023,1.0011568466570397
2020-06-16,172888.38555555372,nan,1063.6800780383821,1.0058917359441313
2020-06-17,173590.57184630627,nan,1066.9976203576684,1.0105060595273132
2020-06-18,174421.72378088481,nan,1070.07074784327,1.0148989531137813
2020-06-19,175367.6346008912,nan,1072.9212295395132,1.0189851647918045
2020-06-20,176413.75700390522,nan,1075.5733726647636,1.0226996955135057
2020-06-21,177545.7729105514,nan,1078.0544137800994,1.0259997429902061
2020-06-22,178749.99326059272,nan,1080.3953941273062,1.0288641194984134
2020-06-23,180013.62592406422,nan,1080.2519940793613,1.0312907289934852
2020-06-24,181324.93865586523,nan,1078.1755038393896,1.0332928752643435
2020-06-25,182673.32999770375,nan,1074.6165631313236,1.0348951477850667
2020-06-26,184049.327705008,nan,1069.9457186325858,1.0361294700691432
2020-06-27,185444.53416411046,nan,1064.4697717917702,1.037031682229833
2020-06-28,186851.5422471755,nan,1058.4444216199067,1.0376388303069197
2020-06-29,188263.84008435256,nan,1052.0840469135414,1.037987184271723
2020-06-30,189675.71339551482,nan,1045.5692473602319,1.0381109125519747
2020-07-01,191082.1497243691,nan,1039.0523078413337,1.0380412955826717
2020-07-02,192478.74686887863,nan,1032.6613103813634,1.03780635018945
2020-07-03,193861.6281816324,nan,1026.456118195976,1.0374307465316488
2020-07-04,195227.36712482286,nan,1020.4910453399671,1.0369359189626615
2020-07-05,196572.92167804018,nan,1014.8138440103298,1.0363402942989293
2020-07-06,197895.57788164975,nan,1009.4648797815557,1.0356595815853207
2020-07-07,199192.90128465655,nan,1004.4764483008408,1.0349070846969917
2020-07-08,200462.6953317521,nan,999.8729971073492,1.0340940125785603
2020-07-09,201702.96612135103,nan,995.6708991667692,1.033229771866146
2020-07-10,202911.8929573867,nan,991.8786799539921,1.032322233647067
2020-07-11,204087.80394813517,nan,988.497457131029,1.0313779708337454
2020-07-12,205229.15581748442,nan,985.5212115718446,1.030402465656843
2020-07-13,206334.51719619473,nan,982.9384524341351,1.0294002886076687
2020-07-14,207402.55485859237,nan,980.7326152340396,1.0283752511598752
2020-07-15,208432.02249662732,nan,978.882995927129,1.027330535054722
2020-07-16,209469.2902341444,nan,977.3656760059081,1.0265017743861722
2020-07-17,210409.81122513695,nan,976.1544177521929,1.0253831588793503
2020-07-18,211312.31010621792,nan,975.2215786564005,1.0242589716686663
2020-07-19,212175.18450350975,nan,974.538816052638,1.0231297319032227
2020-07-20,212999.49460426887,nan,974.0776474259922,1.0219956435718223
2020-07-21,213783.6920473031,nan,973.8099100432703,1.0208569192662347
2020-07-22,214517.0761091171,nan,973.7080755457964,1.0197137658916229
2020-07-23,215200.84891894995,nan,973.8542169066734,1.0185663986664517
2020-07-24,215837.91046289154,nan,974.2155189538133,1.017415090243356
2020-07-25,216427.7679195901,nan,974.7606459567987,1.016260106827699
2020-07-26,216971.27567027,nan,975.4597289762685,1.0151016990650168
2020-07-27,217465.5998564147,nan,976.2843228558929,1.013940120250123
2020-07-28,217909.6229135236,nan,977.2073389507344,1.0127756190966624
2020-07-29,218303.3671454401,nan,978.202985329545,1.0116084595322408
2020-07-30,218646.89975998303,nan,979.2467126003655,1.0104389114872314
2020-07-31,218940.2713232156,nan,980.3151762849141,1.0092672447770943
2020-08-01,219182.8972938339,nan,981.3872013460717,1.0080937288614036
2020-08-02,219374.17170113215,nan,982.4423900753399,1.0069186329331934
2020-08-03,219513.85550059652,nan,983.4612819943789,1.0057422293277554
2020-08-04,219601.87489525918,nan,984.4254759938502,1.004564793637758
2020-08-05,219638.25182161186,nan,985.3168110295506,1.0033866027439524
2020-08-06,219622.9179855687,nan,986.117845684807,1.002207933928291
2020-08-07,219555.76874204449,nan,986.8138604322558,1.0010290643601256
2020-08-08,219436.78100135297,nan,987.391206427643,0.9998502715805231
2020-08-09,219266.03044454433,nan,987.8372403352199,0.9986718336974008
2020-08-10,219043.67317439153,nan,988.1402286469232,0.9974940289478097
2020-08-11,218769.8981433242,nan,988.288622221429,0.9963171351678027
2020-08-12,218444.91310914865,nan,988.2735009142095,0.9951414293607717
2020-08-13,218068.9675050925,nan,988.086972215335,0.9939671875211105
2020-08-14,217642.3676193176,nan,987.7220470123618,0.9927946845332548
2020-08-15,217165.47868985205,nan,987.172504631781,0.9916241939479586
2020-08-16,216638.71435285528,nan,986.4310339249575,0.9904559876770856
2020-08-17,216062.52772865875,nan,985.4938210426494,0.9892903356771432
2020-08-18,215437.41207074746,nan,984.3576130735639,0.9881275056894432
2020-08-19,214763.9045489527,nan,983.019630381367,0.9869677630280985
2020-08-20,214042.5880530149,nan,981.4774470911929,0.9858113703645288
2020-08-21,213274.08914849744,nan,979.7289589656546,0.9846585874916488
2020-08-22,212459.07447153726,nan,977.7728294436363,0.983509671078367
2020-08-23,211598.248643303,nan,975.608335612083,0.9823648744350484
2020-08-24,210692.35370545575,nan,973.2351515974647,0.9812244472983191
2020-08-25,209742.16878494856,nan,970.6532955066111,0.9800886356270571
2020-08-26,208748.5089431794,nan,967.8630019949003,0.9789576814014076
2020-08-27,207712.22324690988,nan,964.864859127985,0.9778318224235892
2020-08-28,206634.19280887727,nan,961.6598078558403,0.9767112921248687
2020-08-29,205515.32918093115,nan,958.2490923942759,0.9755963193828887
2020-08-30,204356.5729679454,nan,954.634214165013,0.9744871283495016
2020-08-31,203158.8923528377,nan,950.8168500170874,0.9733839382872259
2020-09-01,201923.28139186592,nan,946.7989134971172,0.9722869634131386
2020-09-02,200650.75818983058,nan,942.5825570982277,0.9711964127506773
2020-09-03,199342.36310357298,nan,938.1701580003499,0.9701124899905913
2020-09-04,197999.15701560472,nan,933.5643415355287,0.9690353933616819
2020-09-05,196622.21962568717,nan,928.7679491207527,0.9679653155111856
2020-09-06,195212.6477027462,nan,923.7839420836757,0.9669024433944189
2020-09-07,193771.55329582922,nan,918.6154629771288,0.9658469581735925
2020-09-08,192300.06194019233,nan,913.2658340150267,0.9647990351260067
2020-09-09,190799.31088724374,nan,907.7385542418469,0.9637588435618507
2020-09-10,189270.44736102835,nan,902.0373249107331,0.9627265467516276
2020-09-11,187714.62682988224,nan,896.1659341748143,0.9617023018630831
2020-09-12,186133.01128820155,nan,890.128310673311,0.9606862599074917
2020-09-13,184526.76755523827,nan,883.9285207260579,0.9596785656952228
2020-09-14,182897.06560189548,nan,877.5707648228477,0.9586793578005296
2020-09-15,181245.07691223195,nan,871.0594528411987,0.9576887685354719
2020-09-16,179571.9728809024,nan,864.3989984219063,0.9567069239328223
2020-09-17,177878.92324647369,nan,857.5939236098718,0.9557339437377703
2020-09-18,176167.09456268483,nan,850.6488541098076,0.9547699414082316
2020-09-19,174437.64871166428,nan,843.568516072176,0.9538150241235682
2020-09-20,172691.74146299512,nan,836.357728522876,0.9528692928015227
2020-09-21,170930.52108109696,nan,829.021375983417,0.9519328421231306
2020-09-22,169155.1269823265,nan,821.5644040087702,0.9510057605653782
2020-09-23,167366.6884431027,nan,813.9918186477205,0.950088130441334
2020-09-24,165566.32336071835,nan,806.3086798759206,0.9491800279474985
2020-09-25,163755.13706858215,nan,798.5200970741284,0.9482815232180895
2020-09-26,161934.2212072886,nan,790.6312173250049,0.9473926803859852
2020-09-27,160104.6526524342,nan,782.6472166458785,0.9465135576500343
2020-09-28,158267.49249978707,nan,774.5732934844572,0.9456442073484284
2020-09-29,156423.78510830086,nan,766.4146623997486,0.9447846760378358
2020-09-30,154574.55720137662,nan,758.1765477268318,0.9439350045779904
2020-10-01,152720.81702661215,nan,749.8641760247142,0.94309522822142
2020-10-02,150863.5535740449,nan,741.4827684448867,0.9422653767080078
2020-10-03,149003.73585266893,nan,733.03753380122,0.9414454743640681
2020-10-04,147142.31222483478,nan,724.5336620274514,0.9406355402056233
2020-10-05,145280.2097980082,nan,715.9763178913053,0.9398355880455741
2020-10-06,143418.33387322817,nan,707.3706346221754,0.9390456266044438
2020-10-07,141557.56744946388,nan,698.7217075470488,0.9382656596243966
2020-10-08,139698.7707829246,nan,690.0345879645616,0.9374956859862202
2020-10-09,137842.78100024746,nan,681.3142773103903,0.9367356998289763
2020-10-10,135990.41176437755,nan,672.5657215939596,0.9359856906720212
2020-10-11,134142.4529918575,nan,663.7938060278116,0.9352456435391076
2020-10-12,132299.67062015223,nan,655.0033498286929,0.9345155390842881
2020-10-13,130462.80642354784,nan,646.1991012371897,0.9337953537193383
2020-10-14,128632.57787608918,nan,637.3857327917875,0.9330850597424368
2020-10-15,126809.67805995062,nan,628.5678368690438,0.932384625467836
2020-10-16,124994.77561758306,nan,619.749921477222,0.9316940153562757
2020-10-17,123188.51474593022,nan,610.9364062918019,0.9310131901458928
2020-10-18,121391.5152309702,nan,602.131618937306,0.9303421069833904
2020-10-19,119604.37252080604,nan,593.3397915254343,0.9296807195552469
2020-10-20,117827.65783550462,nan,584.5650574557567,0.9290289782187394
2020-10-21,116061.91831186845,nan,575.8114484777831,0.9283868301325818
2020-10-22,114307.67718131603,nan,567.082892009595,0.9277542193869756
2020-10-23,112565.43397904455,nan,558.3832087100383,0.9271310871328888
2020-10-24,110835.66478265276,nan,549.716110303568,0.9265173717103828
2020-10-25,109118.82247841296,nan,541.0851976567881,0.9259130087758198
2020-10-26,107415.33705339536,nan,532.4939591038494,0.925317931427793
2020-10-27,105725.6159116709,nan,523.9457690160004,0.9247320703316305
2020-10-28,104050.0442128425,nan,515.4438866099747,0.9241553538423346
2020-10-29,102388.98523118642,nan,506.991454990031,0.9235877081258251
2020-10-30,100742.78073371835,nan,498.5915004184174,0.9230290572783688
2020-10-31,99111.75137553726,nan,490.2469318085202,0.9224793234440842
2020-11-01,97496.19711084018,nan,481.9605404342151,0.9219384269304182
